SOLICITATIONNUM,DOCUMENTNUM,DOCUMENTTYPE,DOCNAME,DOCSIZE,GUID,SOURCE,RECEIPTDATE,ACTIVE,REC_CREATED_DATE,REC_UPDATED_DATE,DCS_LOAD_DATE,OBJECTID
DCKA-2025-Q-0015,,Amendment 2,DCKA-2025-Q-0015_Amd2.pdf,531 KB,{10DDBC94-0000-C017-AC32-009BC7F8F01A},PASS,1738299600000,1,1738299600000,,1738299600000,134
DCKA-2025-Q-0015,,Attachment 1,DCKA-2025-Q-0015_Att1.pdf,4.6 MB,{70DCBC94-0000-C511-B448-0319D2157885},PASS,1738299600000,1,1738299600000,,1738299600000,135
DCKA-2025-Q-0019,,Amendment 1,DCKA-2025-Q-0019_Amd1.pdf,178 KB,{C0DBBC94-0000-CB1B-9209-76317C07F87E},PASS,1738299600000,1,1738299600000,,1738299600000,136
DCKA-2025-Q-0019,,Amendment 2,DCKA-2025-Q-0019_Amd2.pdf,154 KB,{30DBBC94-0000-C716-9F6E-D029681D0740},PASS,1738299600000,1,1738299600000,,1738299600000,137
DCKA-2025-Q-0019,,Amendment 3,DCKA-2025-Q-0019_Amd3.pdf,166 KB,{C0DABC94-0000-C21F-A756-30ABAE10DC14},PASS,1738299600000,1,1738299600000,,1738299600000,138
DCKA-2025-Q-0080,,Amendment 2,DCKA-2025-Q-0080_Amd2.pdf,282 KB,{20247E9A-0000-C110-A2A1-02CA6808E5B6},PASS,1763010000000,1,1763010000000,,1763010000000,139
DCKA-2025-B-0119,,Attachment 2,DCKA-2025-B-0119_Att2.pdf,2.1 MB,"{165A638D-5BA9-4A0E-9FBF-E619F1326C1A},{B0C62B9A-0000-C11F-97CC-3BB2D89E0C78}",PASS,1761624000000,1,1761624000000,,1761624000000,140
DCKA-2025-B-0119,,Attachment 1,DCKA-2025-B-0119_Att1.pdf,3.9 MB,{80D82B9A-0000-C716-9269-61D75CD7E29D},PASS,1761624000000,1,1761672351000,,1761624000000,141
DCKA-2026-R-0010,,Attachment 1,DCKA-2026-R-0010_Att1.pdf,887 KB,{F0207E9A-0000-CE12-9186-6B5B95522BAB},PASS,1763010000000,1,1763010000000,,1763010000000,142
DCEB-2026-B-1001,,Attachement 1,DCEB-2026-B-1001_Att1.pdf,417 KB,{201F7E9A-0000-C21E-B246-353FF0AB6651},PASS,1763010000000,1,1763010000000,,1763010000000,143
DCKA-2025-Q-0080,,Amendment 1,DCKA-2025-Q-0080_Amd1.pdf,339 KB,{501A7E9A-0000-C61A-8A46-7EDEFEBCC21A},PASS,1763010000000,1,1763010000000,,1763010000000,144
DCKA-2025-Q-0080_Amd4,,Amendment 4,DCKA-2025-Q-0080_Amd4.pdf,304 KB,{90F7BB9A-0000-CA12-A9B0-CAFDDEC9360D},PASS,1764046800000,1,1764046800000,,1764046800000,145
DCKA-2018-B-0018,,Amendment 2,DCKA-2018-B-0018_Amd2.pdf,272 KB,{30011669-0000-C518-8628-462D51678E17},PASS,1550725200000,1,1550725200000,,1550811600000,146
